日付,時刻,区,出没場所,緯度,経度,状況,ソース
2025/9/1,15:27,豊平区,豊平区羊ケ丘7番地1付近(森林総合研究所事務所棟から西に約200mの林内),42.99635555,141.3881194,カメラでヒグマを目撃,公式
2025/9/2,11:50,南区,南区定山渓無番地(定山渓自然の村入口から約150m手前の道路上),42.938852,141.150954,ヒグマを目撃,公式
2025/9/2,17:10,南区,南区定山渓無番地(国道230号線の薄別トンネルから中山峠方面に約300mの地点),42.90139428,141.1261341,ヒグマを目撃,公式
2025/9/2,10:45,南区,南区滝野213番地付近(滝のカントリｰクラブ敷地内),42.897278,141.356103,ヒグマを目撃,公式
2025/9/3,7:26,南区,南区定山渓747番地付近(国道230号線上の新豊橋から中山峠方面に約600mの地点),42.947902,141.143354,ヒグマを目撃,公式
2025/9/3,11:48,南区,南区滝野213番地付近(滝のカントリｰクラブ敷地内),42.897278,141.356103,ヒグマを目撃,公式
2025/9/5,3:10,南区,南区白川1814番地付近(白川浄水場付近),42.96979,141.28202,ヒグマを目撃,公式
2025/9/6,不明,南区,南区滝野189番地,42.913256,141.358492,フン、足跡、掘り跡、食痕を確認,公式
2025/9/7,16:20,南区,南区滝野133番地付近(滝野すずらん丘陵公園滝野の森口駐車場から北へ約750mの地点),42.91377777,141.3703333,ヒグマを目撃,公式
2025/9/7,18:24,南区,南区滝野162番地付近(滝野JAグラウンドから西へ約350mの畑付近),42.91505555,141.3613333,ヒグマを目撃,公式
2025/9/8,15:00,南区,南区滝野164番地付近,42.914778,141.36324,ヒグマを目撃,公式
2025/9/8,16:00,南区,南区自然歩道｢中の沢~小林峠･源八沢ルｰト｣(中の沢入口から駐車場方向へ約50mの地点),43.003009,141.297449,ヒグマを目撃,公式
2025/9/9,22:12,南区,南区小金湯629番地付近(国道230号線上の小金湯さくらの森入口から定山渓方面に約450mの地点),42.967661,141.215167,ヒグマを目撃,公式
2025/9/10,6:30,南区,南区滝野163番地付近,42.914817,141.361969,堀り跡、食痕、フンを確認,公式
2025/9/10,17:35,南区,南区真駒内無番地(国道453号線真駒内カントリｰクラブ入口から支笏湖方面へ約1.6 qの地点),42.89530555,141.3371389,ヒグマを目撃(2頭),公式
